"","id","goals","own_goals","shots","xG","time","player_id","team_id","position","player","h_a","yellow_card","red_card","roster_in","roster_out","key_passes","assists","xA","xGChain","xGBuildup","positionOrder","match_id"
"1",428114,0,0,0,0,90,6970,138,"GK","Tomás Vaclik","h",0,0,0,0,0,0,0,0,0,1,14873
"2",428115,0,0,0,0,90,616,138,"DR","Jesús Navas","h",1,0,0,0,3,1,0.624927163124084,0.867651998996735,0.251603573560715,2,14873
"3",428116,0,0,2,0.156776323914528,90,5712,138,"DC","Diego Carlos","h",0,0,0,0,0,0,0,0.115037702023983,0.115037702023983,3,14873
"4",428117,1,0,1,0.605694591999054,90,6433,138,"DC","Jules Koundé","h",0,0,0,0,0,0,0,0.196565642952919,0.196565642952919,3,14873
"5",428118,0,0,0,0,32,8939,138,"DL","Marcos Acuña","h",0,0,428127,0,1,0,0.0550379417836666,0.13425999879837,0.079222060739994,4,14873
"6",428121,0,0,2,0.0930872783064842,84,2122,138,"MC","Joan Jordán","h",0,0,428125,0,3,0,0.155399024486542,0.100763164460659,0,9,14873
"7",428119,0,0,0,0,90,615,138,"MC","Fernando","h",0,0,0,0,1,1,0.502346813678741,0.66310977935791,0.160762920975685,9,14873
"8",428120,0,0,0,0,90,2094,138,"MC","Ivan Rakitic","h",0,0,0,0,1,1,0.0162979457527399,0.219201028347015,0.20290307700634,9,14873
"9",428122,0,0,2,0.191284477710724,84,1109,138,"FWR","Lucas Ocampos","h",0,0,428129,0,1,0,0.079222060739994,0.327850371599197,0.0573438219726086,14,14873
"10",428123,1,0,3,0.55874764919281,71,5169,138,"FW","Youssef En-Nesyri","h",0,0,428126,0,0,0,0,0.52322119474411,0,15,14873
"11",428124,0,0,1,0.079222060739994,71,2424,138,"FWL","Óliver Torres","h",0,0,428128,0,0,0,0,0.136565878987312,0.0573438219726086,16,14873
"12",428127,1,0,1,0.0162979457527399,58,2064,138,"Sub","Sergio Escudero","h",1,0,0,428118,1,0,0.0573438219726086,0.13364152610302,0.0599997565150261,17,14873
"13",428125,0,0,0,0,6,9132,138,"Sub","Oussama Idrissi","h",0,0,0,428121,0,0,0,0.0599997565150261,0.0599997565150261,17,14873
"14",428128,1,0,2,0.511225581169128,19,2106,138,"Sub","Munir","h",0,0,0,428124,0,0,0,0.578644514083862,0.0762977004051208,17,14873
"15",428126,0,0,1,0.0599997565150261,19,7887,138,"Sub","Luuk de Jong","h",0,0,0,428123,0,0,0,0.0599997565150261,0,17,14873
"16",428129,0,0,0,0,6,6570,138,"Sub","Óscar Rodríguez","h",0,0,0,428122,1,0,0.0599997565150261,0.0599997565150261,0,17,14873
"17",428130,0,0,0,0,90,2293,152,"GK","Rubén Blanco","a",0,0,0,0,0,0,0,0.50518274307251,0.50518274307251,1,14873
"18",428131,0,0,1,0.0245151277631521,90,2281,152,"DR","Hugo Mallo","a",1,0,0,0,1,0,0.549864888191223,0.809657752513885,0.235277771949768,2,14873
"19",428133,0,0,0,0,41,7826,152,"DC","Joseph Aidoo","a",0,0,428141,0,0,0,0,0.291201412677765,0.291201412677765,3,14873
"20",428132,0,0,0,0,90,1508,152,"DC","Jeison Murillo","a",0,0,0,0,0,0,0,0.334721475839615,0.334721475839615,3,14873
"21",428134,0,0,0,0,90,7514,152,"DL","Lucas Olaza","a",0,0,0,0,0,0,0,0.021296426653862,0.021296426653862,4,14873
"22",428135,0,0,1,0.0425466001033783,90,8710,152,"DMC","Renato Tapia","a",0,0,428142,0,0,0,0,0.638223052024841,0.595676422119141,7,14873
"23",428136,1,0,3,0.268208205699921,71,1732,152,"MC","Nolito","a",0,0,428143,0,0,0,0,0.581633269786835,0.313425034284592,9,14873
"24",428137,0,0,1,0.213981345295906,90,6227,152,"MC","Brais Méndez","a",0,0,0,0,1,0,0.124700367450714,0.629883110523224,0.291201412677765,9,14873
"25",428138,0,0,0,0,90,2308,152,"AMC","Denis Suárez","a",1,0,0,0,2,0,0.291201412677765,0.291201412677765,0.021296426653862,12,14873
"26",428139,1,0,3,1.03898370265961,90,2290,152,"FW","Iago Aspas","a",0,0,0,0,1,0,0.213981345295906,1.95204544067383,0.699080348014832,15,14873
"27",428140,0,0,1,0.549864888191223,90,2384,152,"FW","Santi Mina","a",0,0,0,0,2,0,0.123958818614483,0.819820463657379,0.145996794104576,15,14873
"28",428141,0,0,0,0,49,6930,152,"Sub","Néstor Araújo","a",0,0,0,428133,0,0,0,0.363196849822998,0.363196849822998,17,14873
"29",428142,0,0,0,0,1,8712,152,"Sub","Miguel Rodriguez","a",0,0,0,428135,0,0,0,0,0,17,14873
"30",428143,0,0,0,0,19,6932,152,"Sub","Okay Yokuslu","a",0,0,0,428136,0,0,0,0,0,17,14873
